"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4"
"Peter Lake",1996,177,1996-06-25,0,1962.902,49.435,230.895,217.75,11.77
"West Long Lake",1996,178,1996-06-26,0,2061.226,34.826,515.391,589.574,4.956
"East Long Lake",1996,179,1996-06-27,0,2608.956,101.05,869.328,634.587,62.535
"Tuesday Lake",1996,180,1996-06-28,0,423.608,12.711,18.735,1.605,2.291
"Paul Lake",1996,204,1996-07-22,0,351.499,7.967,8.329,2.906,0.687
"Peter Lake",1996,205,1996-07-23,0,2048.151,64.383,532.858,451.758,5.624
"West Long Lake",1996,206,1996-07-24,0,2870.302,53.424,1384.272,878.939,8.204
"Paul Lake",1997,146,1997-05-26,0,412.409,13.57,34.55,15.485,3.077
"Peter Lake",1997,147,1997-05-27,0,508.968,13.334,22.591,188.394,3.099
"West Long Lake",1997,148,1997-05-28,0,629.512,23.013,26.455,455.229,3.75
"East Long Lake",1997,149,1997-05-29,0,933.84,47.033,36.392,159.744,3.445
"Paul Lake",1997,174,1997-06-23,0,477.193,9.206,16.58,0.839,1.975
"Peter Lake",1997,175,1997-06-24,0,917.878,21.881,25.692,290.803,5.93
"West Long Lake",1997,176,1997-06-25,0,1147.122,31.75,83.627,502.651,2.027
"East Long Lake",1997,177,1997-06-26,0,1258.329,65.415,315.517,382.369,26.065
"Tuesday Lake",1997,178,1997-06-27,0,431.008,8.193,32.051,0.841,1.729
"Paul Lake",1997,202,1997-07-21,0,374.651,9.42,13.505,2.448,2.011
"Peter Lake",1997,203,1997-07-22,0,1162.929,25.869,10.216,317.931,1.976
"West Long Lake",1997,204,1997-07-23,0,1464.382,32.467,334.607,527.298,7.856
"East Long Lake",1997,205,1997-07-24,0,1670.165,77.373,367.813,560.655,34.631
"Paul Lake",1997,230,1997-08-18,0,360.28,13.873,10.344,11.25,0
"Peter Lake",1997,231,1997-08-19,0,1251.84,41.426,6.642,272.335,8.218
"West Long Lake",1997,232,1997-08-20,0,1402.538,42.245,295.976,608.7,6.213
"East Long Lake",1997,233,1997-08-21,0,1404.285,62.844,102.553,627.069,10.038
"Tuesday Lake",1997,234,1997-08-22,0,420.112,12.795,11.603,3.074,1.459
"Paul Lake",1998,145,1998-05-25,0,473.371,7.743,24.666,4.178,4.122
"Peter Lake",1998,146,1998-05-26,0,593.138,8.475,14.821,5.033,6.541
"West Long Lake",1998,147,1998-05-27,0,747.818,18.595,12.904,7.56,1.848
"East Long Lake",1998,148,1998-05-28,0,872.845,44.352,17.767,5.667,7.26
"Tuesday Lake",1998,149,1998-05-29,0,533.887,6.325,32.234,5.035,3.648
"Paul Lake",1998,173,1998-06-22,0,628.625,5.564,15.343,2.425,2.962
"Peter Lake",1998,174,1998-06-23,0,587.544,8.086,15.322,0.819,3.152
"West Long Lake",1998,175,1998-06-24,0,756.505,23.982,29.257,8.189,1.537
"East Long Lake",1998,176,1998-06-25,0,781.559,65.364,29.943,11.225,6.52
"Tuesday Lake",1998,176,1998-06-25,0,461.542,6.786,8.163,3.949,0.959
"Paul Lake",1998,201,1998-07-20,0,338.512,2.305,13.237,1.151,1.499
"Peter Lake",1998,202,1998-07-21,0,537.964,8.593,7.981,4.868,7.327
"West Long Lake",1998,203,1998-07-22,0,690.243,30.083,13.649,2.132,2.843
"East Long Lake",1998,204,1998-07-23,0,811.618,35.111,10.509,4.317,2.265
"Tuesday Lake",1998,205,1998-07-24,0,417.893,10.471,7.915,2.851,0
"Paul Lake",1998,236,1998-08-24,0,576.302,8.005,24.279,5.386,4.77
"Peter Lake",1998,237,1998-08-25,0,488.017,13.222,6.349,0.988,1.659
"West Long Lake",1998,238,1998-08-26,0,747.487,23.595,20.618,4.841,8.047
